source,source_type,type,_weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid,_journal
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Criticize,-1.0,Paackland Fishermen's Rights Enforcement Network,Entity.Organization.NGO,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily,Lomark Daily
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Frey Inc,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Frey Inc,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily,Lomark Daily
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Barnes and Sons,Entity.Organization.FishingCompany,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Tuna Shelf,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing,0.5,Tuna Shelf,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,Barnes and Sons,Entity.Organization.FishingCompany,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy,The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Criticize,-1.0,SeaWatch Conservation Society,Entity.Organization.NGO,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Urashima Tarō,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,Haacklee Herald,BassLine,Frey Inc__0__0__Haacklee Herald,Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy,The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1.0,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily",Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Convicted,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Port Grove Police Reports,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Criticize,-1.0,Coral Reef Protection Coalition,Entity.Organization.NGO,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1.0,Wrasse Beds,Entity.Location.Region,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1.0,WestRiver Shipping KgaA,Entity.Organization.Company,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald,Haacklee Herald
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily,Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Castillo-Elliott,Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily,Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Castillo-Elliott,Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily,Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily,Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Fishing,0.5,Tuna Shelf,Entity.Location.Region,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily,Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Castillo-Elliott,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy,The News Buoy
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy,The News Buoy
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy,The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1.0,Castillo-Elliott,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy,The News Buoy
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Aid,1.0,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy,The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Safety,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Efficiency,Entity.Commodity,Greta Grass-Hill,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy",The News Buoy
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Haenyeo Hyun-Ki,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing,0.5,Cod Table,Entity.Location.Region,Haenyeo Hyun-Ki,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1.0,Tracking_System,Entity.Commodity,Haenyeo Hyun-Ki,2035-02-02 03:00:00,2035-02-02 03:00:00,2035-02-02,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald",Haacklee Herald
