source,source_type,type,weight,target,target_type,_last_edited_by,_last_edited_date,_date_added,_date,_raw_source,_algorithm,_articleid
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Transaction,0,"Roth, Logan and Moreno",Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Communication.Conference,1,Montoya Group,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Communication.Conference,1,Cook PLC,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Transaction,0,Wong-Harrell,Entity.Organization.Company,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Barnes and Sons,Entity.Organization.FishingCompany,Event.Transaction,0,Allen-Weiss,Entity.Organization.Company,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Transaction,0,Rivas-Stevens,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Castillo-Elliott,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Haacklee Herald,BassLine,Castillo-Elliott__0__0__Haacklee Herald
Frey Inc,Entity.Organization.FishingCompany,Event.Transaction,0,Ellis-Hunter,Entity.Organization.Company,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
Frey Inc,Entity.Organization.FishingCompany,Event.Transaction,0,Watson-Gray,Entity.Organization.FishingCompany,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
Frey Inc,Entity.Organization.FishingCompany,Event.Transaction,0,Rhodes-Thompson,Entity.Organization.FishingCompany,Jack Inch,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,The News Buoy,BassLine,Frey Inc__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1,Barnes and Sons,Entity.Organization.FishingCompany,Kristin Baker,2035-02-01 01:00:00,2035-02-01 01:00:00,2035-02-01,Lomark Daily,BassLine,Barnes and Sons__0__0__Lomark Daily
Barnes and Sons,Entity.Organization.FishingCompany,Event.Communication.Conference,1,"Anderson, Brown and Green",Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Tuna Shelf,Entity.Location.Region,Junior Shurdlu,2035-02-01 02:00:00,2035-02-01 02:00:00,2035-02-01,Haacklee Herald,ShadGPT,Barnes and Sons__0__0__Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1,Wrasse Beds,Entity.Location.Region,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Criticize,-1,Paackland Fishermen's Rights Enforcement Network,Entity.Organization.NGO,Harvey Janus,2035-02-01 05:00:00,2035-02-01 05:00:00,2035-02-01,Lomark Daily,BassLine,Jones Group__0__0__Lomark Daily
City Of Centralia,Entity.Organization.GovernmentOrg,Event.Applaud,1,Frey Inc,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
City Of Lomark,Entity.Organization.GovernmentOrg,Event.Applaud,1,Frey Inc,Entity.Organization.FishingCompany,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
Frey Inc,Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Junior Shurdlu,2035-02-01 06:00:00,2035-02-01 06:00:00,2035-02-01,Lomark Daily,BassLine,Frey Inc__0__0__Lomark Daily
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Transaction,0,Maddox Group,Entity.Organization.Company,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Transaction,0,"Garcia, Merritt and Rose",Entity.Organization.Company,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Transaction,0,"Phelps, Brown and Wallace",Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Communication.Conference,1,Alvarez PLC,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1,Safety,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Greta Grass-Hill,2035-02-01 08:00:00,2035-02-01 08:00:00,2035-02-01,The News Buoy,ShadGPT,"Mann, Myers and Rivera__0__0__The News Buoy"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1,Barnes and Sons,Entity.Organization.FishingCompany,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Tuna Shelf,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing,0,Tuna Shelf,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
Barnes and Sons,Entity.Organization.FishingCompany,Event.Transaction,0,Kelly-Smith,Entity.Organization.FishingCompany,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1,Barnes and Sons,Entity.Organization.FishingCompany,Clepper Jessen,2035-02-01 13:00:00,2035-02-01 13:00:00,2035-02-01,The News Buoy,ShadGPT,Barnes and Sons__0__0__The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing,0,Cod Table,Entity.Location.Region,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Melinda Manning,2035-02-01 14:00:00,2035-02-01 14:00:00,2035-02-01,Haacklee Herald,ShadGPT,"Mann, Myers and Rivera__0__0__Haacklee Herald"
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Criticize,-1,SeaWatch Conservation Society,Entity.Organization.NGO,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1,Wrasse Beds,Entity.Location.Region,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy
Frey Inc,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Urashima Tarō,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,Haacklee Herald,BassLine,Frey Inc__0__0__Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Worf Peer,2035-02-01 15:00:00,2035-02-01 15:00:00,2035-02-01,The News Buoy,ShadGPT,Jones Group__0__0__The News Buoy
City Of Paackland,Entity.Organization.GovernmentOrg,Event.Applaud,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
City Of Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Applaud,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Fishing.SustainableFishing,1,Cod Table,Entity.Location.Region,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
"Mann, Myers and Rivera",Entity.Organization.FishingCompany,Event.Aid,1,Marine_Sanctuary,Entity.Organization,Olokun Daramola,2035-02-01 17:00:00,2035-02-01 17:00:00,2035-02-01,Lomark Daily,BassLine,"Mann, Myers and Rivera__0__0__Lomark Daily"
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald
City Of Port Grove,Entity.Organization.GovernmentOrg,Event.Convicted,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Port Grove Police Reports,BassLine,Jones Group__0__0__Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Fishing.OverFishing,-1,Wrasse Beds,Entity.Location.Region,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald
WestRiver Shipping KgaA,Entity.Organization.Company,Event.Criticize,-1,Coral Reef Protection Coalition,Entity.Organization.NGO,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald
City Of Lomark,Entity.Organization.GovernmentOrg,Event.CertificateIssued.Summons,-1,WestRiver Shipping KgaA,Entity.Organization.Company,Niklaus Oberon,2035-02-01 18:00:00,2035-02-01 18:00:00,2035-02-01,Haacklee Herald,BassLine,Jones Group__0__0__Haacklee Herald
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1,Efficiency,Entity.Commodity,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Transaction,0,Maddox Group,Entity.Organization.Company,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Castillo-Elliott,Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Transaction,0,"Martinez, Willis and Barr",Entity.Organization.Company,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Transaction,0,Wu-Hart,Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Castillo-Elliott,Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Transaction,0,"Blackwell, Clark and Lam",Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Fishing,0,Tuna Shelf,Entity.Location.Region,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Communication.Conference,1,"Walker, Erickson and Blake",Entity.Organization.FishingCompany,Worf Peer,2035-02-01 21:00:00,2035-02-01 21:00:00,2035-02-01,Lomark Daily,ShadGPT,Castillo-Elliott__0__0__Lomark Daily
City Of Himark,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Castillo-Elliott,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1,Sustainable_nets,Entity.Commodity,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy
Castillo-Elliott,Entity.Organization.FishingCompany,Event.Invest,1,Tracking_System,Entity.Commodity,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy
City Of South Paackland,Entity.Organization.GovernmentOrg,Event.CertificateIssued,1,Castillo-Elliott,Entity.Organization.FishingCompany,Greta Grass-Hill,2035-02-02 00:00:00,2035-02-02 00:00:00,2035-02-02,The News Buoy,ShadGPT,Castillo-Elliott__0__0__The News Buoy
